Took,Over,Draft Round,Edge,Result,Account
Barbarian Hut,Suspicious Bush,1,-0.525,Win,#9RG0VPUVY
Royal Delivery,Suspicious Bush,2,-0.508,Win,#9RG0VPUVY
Goblin Giant,Skeleton Army,2,-0.487,Win,#9RQ8YRYQL
Ronin,Skeleton Barrel,4,-0.479,Win,#9RG0VPUVY
Ronin,Skeleton Barrel,3,-0.479,Loss,#9RG0VPUVY
Rocket,Zappies,2,-0.473,Loss,#9RG0VPUVY
X-Bow,Zappies,4,-0.470,Win,#9RG0VPUVY
Royal Giant,Princess,2,-0.463,Loss,#9RG0VPUVY
Royal Giant,Rascals,2,-0.454,Win,#9RG0VPUVY
Rage,Witch,3,-0.426,Win,#9RQ8YRYQL
X-Bow,Rascals,3,-0.426,Loss,#9RG0VPUVY
X-Bow,Three Musketeers,4,-0.419,Win,#9RG0VPUVY
X-Bow,Firecracker,4,-0.416,Loss,#9RG0VPUVY
Valkyrie,Goblin Drill,2,-0.412,Win,#9RG0VPUVY
Rocket,Baby Dragon,1,-0.406,Win,#9RG0VPUVY
Ronin,Witch,3,-0.394,Win,#9RQ8YRYQL
Bandit,Musketeer,4,-0.385,Loss,#9RG0VPUVY
Royal Giant,Dart Goblin,3,-0.381,Loss,#9RG0VPUVY
Royal Delivery,Skeleton Barrel,2,-0.372,Loss,#9RG0VPUVY
Zap,Musketeer,1,-0.365,Win,#9RG0VPUVY
Knight,Musketeer,1,-0.365,Loss,#9RG0VPUVY
Valkyrie,Electro Wizard,4,-0.358,Win,#9RG0VPUVY
Dart Goblin,Musketeer,4,-0.348,Loss,#9RG0VPUVY
P.E.K.K.A,Barbarian Barrel,3,-0.343,Loss,#9RG0VPUVY
Royal Delivery,The Log,4,-0.340,Win,#9RG0VPUVY
X-Bow,Zap,4,-0.336,Win,#9RG0VPUVY
Night Witch,Witch,4,-0.331,Win,#9RQ8YRYQL
Bandit,Goblin Drill,2,-0.328,Win,#9RG0VPUVY
Bandit,Skeleton Army,2,-0.328,Loss,#9RG0VPUVY
Royal Hogs,Suspicious Bush,1,-0.326,Win,#9RG0VPUVY
Royal Hogs,Suspicious Bush,3,-0.326,Win,#9RG0VPUVY
Royal Giant,Heal Spirit,2,-0.325,Win,#9RG0VPUVY
Ronin,Furnace,2,-0.318,Win,#9RG0VPUVY
Rocket,Mortar,2,-0.317,Win,#9RG0VPUVY
Mortar,Barbarian Barrel,3,-0.313,Loss,#9RG0VPUVY
Ronin,Goblin Hut,3,-0.296,Loss,#9RG0VPUVY
Ronin,Goblin Hut,1,-0.296,Win,#9RG0VPUVY
Executioner,Goblin Drill,3,-0.288,Loss,#9RG0VPUVY
P.E.K.K.A,Witch,3,-0.286,Win,#9RQ8YRYQL
Firecracker,Musketeer,4,-0.285,Win,#9RG0VPUVY
