Card,Top Offered,Top Picked,Top Pick Rate,Top Games,Top Win Rate,Field Offered,Field Pick Rate,Field Games,Field Win Rate
Arrows,2244,1678,74.8%,2235,59.8%,4274,72.6%,4274,53.9%
Baby Dragon,2591,1656,63.9%,2494,54.5%,4896,65.6%,4896,49.1%
Bandit,2572,1185,46.1%,2588,56.7%,4901,46.3%,4901,50.2%
Barbarian Barrel,2588,1682,65.0%,2623,62.8%,4952,63.2%,4952,56.8%
Barbarian Hut,2216,1155,52.1%,2273,56.6%,4265,50.3%,4265,50.8%
Berserker,2942,2026,68.9%,2969,57.9%,5706,67.2%,5706,52.1%
Dark Prince,2237,459,20.5%,2266,54.4%,4339,23.0%,4339,48.7%
Dart Goblin,2572,1072,41.7%,2589,56.0%,4974,43.1%,4974,49.7%
Electro Spirit,2576,712,27.6%,2709,58.0%,4959,25.7%,4959,52.3%
Electro Wizard,2300,1542,67.0%,2254,56.9%,4449,68.7%,4449,51.3%
Elite Barbarians,2949,841,28.5%,2963,53.3%,5696,30.7%,5696,47.9%
Elixir Golem,2618,209,8.0%,2591,52.8%,4975,8.6%,4975,47.0%
Executioner,2938,1581,53.8%,2865,53.1%,5552,55.7%,5552,47.6%
Fireball,2839,2608,91.9%,2885,59.5%,5443,89.5%,5443,54.0%
Firecracker,2571,1652,64.3%,2621,57.3%,4888,62.3%,4888,51.8%
Fisherman,2570,399,15.5%,2651,52.2%,4946,15.8%,4946,47.6%
Flying Machine,2892,1128,39.0%,2884,54.6%,5557,39.8%,5557,48.0%
Furnace,2327,1110,47.7%,2319,55.3%,4474,49.2%,4474,50.0%
Giant,2703,1287,47.6%,2669,55.5%,5273,48.0%,5273,48.7%
Giant Snowball,2661,400,15.0%,2585,56.8%,5008,16.4%,5008,50.2%
Goblin Barrel,2352,2068,87.9%,2432,60.8%,4500,85.5%,4500,55.4%
Goblin Demolisher,2552,2272,89.0%,2565,59.2%,4956,88.7%,4956,54.4%
Goblin Drill,2719,2346,86.3%,2749,57.6%,5263,84.0%,5263,53.6%
Goblin Giant,2603,818,31.4%,2542,53.1%,4941,32.9%,4941,47.3%
Goblin Hut,2448,1869,76.3%,2520,60.6%,4661,73.4%,4661,54.3%
Golem,2496,2100,84.1%,2490,59.1%,4892,83.6%,4892,53.0%
Graveyard,2730,1784,65.3%,2701,55.6%,5189,64.7%,5189,50.0%
Heal Spirit,2664,573,21.5%,2618,57.4%,5007,20.9%,5007,51.6%
Hunter,2512,930,37.0%,2519,52.0%,4892,38.8%,4892,45.9%
Ice Spirit,2619,637,24.3%,2643,56.6%,4982,23.9%,4982,51.7%
Ice Wizard,2673,561,21.0%,2607,54.5%,5060,22.6%,5060,48.8%
Inferno Dragon,2590,1242,48.0%,2573,53.9%,4925,48.3%,4925,48.3%
Inferno Tower,2563,829,32.3%,2597,50.8%,4938,31.7%,4938,45.5%
Knight,2597,1653,63.7%,2734,58.8%,5031,60.3%,5031,53.1%
Lava Hound,2606,210,8.1%,2470,48.3%,4914,10.3%,4914,43.8%
Mega Knight,2608,1979,75.9%,2592,54.2%,4967,76.0%,4967,49.8%
Mortar,2405,989,41.1%,2487,55.2%,4664,38.9%,4664,50.2%
Mother Witch,2931,1342,45.8%,2861,54.1%,5666,48.9%,5666,48.3%
Musketeer,2531,1798,71.0%,2512,54.9%,4862,71.2%,4862,51.0%
Night Witch,2590,1119,43.2%,2507,53.3%,4991,46.0%,4991,46.2%
P.E.K.K.A,2715,1119,41.2%,2649,52.3%,5128,41.9%,5128,46.6%
Poison,2587,2169,83.8%,2558,56.9%,4891,82.6%,4891,51.5%
Princess,2458,1123,45.7%,2432,56.0%,4773,46.2%,4773,49.5%
Rage,2683,287,10.7%,2590,52.4%,5047,12.2%,5047,46.9%
Ram Rider,2648,760,28.7%,2648,49.4%,5182,30.9%,5182,44.5%
Rascals,2552,1085,42.5%,2578,56.2%,4971,43.5%,4971,50.8%
Rocket,2349,916,39.0%,2376,52.0%,4485,37.6%,4485,46.3%
Ronin,2547,1795,70.5%,2585,54.3%,4914,70.3%,4914,48.0%
Royal Delivery,2853,901,31.6%,2866,55.2%,5458,31.1%,5458,49.4%
Royal Giant,2642,403,15.3%,2580,50.3%,4998,17.1%,4998,44.9%
Royal Hogs,2294,2049,89.3%,2359,59.9%,4422,85.5%,4422,54.0%
Rune Giant,2568,427,16.6%,2668,53.3%,5000,17.1%,5000,48.0%
Skeleton Army,2586,2367,91.5%,2612,61.4%,4939,89.2%,4939,56.5%
Skeleton Barrel,2953,2607,88.3%,2989,62.6%,5609,86.5%,5609,57.4%
Suspicious Bush,2301,1543,67.1%,2379,59.8%,4385,64.4%,4385,54.2%
Tesla,2603,1305,50.1%,2623,49.9%,5025,49.4%,5025,45.2%
The Log,2602,1705,65.5%,2663,61.6%,4938,63.6%,4938,55.3%
Three Musketeers,2877,1537,53.4%,2856,51.5%,5468,52.1%,5468,46.3%
Tombstone,2648,1076,40.6%,2537,54.7%,5007,42.8%,5007,49.4%
Valkyrie,2623,612,23.3%,2642,54.3%,5024,25.0%,5024,48.8%
Vines,2176,1668,76.7%,2212,58.2%,4237,74.6%,4237,52.9%
Witch,2553,1739,68.1%,2503,56.1%,4988,69.5%,4988,51.2%
Wizard,2562,1463,57.1%,2496,54.4%,4877,58.5%,4877,48.9%
X-Bow,2256,822,36.4%,2155,48.2%,4227,38.7%,4227,43.2%
Zap,2623,1004,38.3%,2678,58.2%,4956,35.9%,4956,51.5%
Zappies,2574,1281,49.8%,2542,55.0%,4927,50.0%,4927,50.5%
