Card,Strength,Top Pick Rate,Times Offered (all)
Skeleton Barrel,+0.386,87.3%,3857
Skeleton Army,+0.345,91.3%,3411
Barbarian Barrel,+0.318,64.7%,3397
Goblin Barrel,+0.306,87.1%,3067
Fireball,+0.293,92.3%,3739
Goblin Demolisher,+0.290,88.7%,3365
Goblin Drill,+0.255,85.6%,3602
The Log,+0.250,64.4%,3368
Suspicious Bush,+0.240,67.3%,2985
Royal Hogs,+0.230,88.3%,3036
Goblin Hut,+0.228,74.9%,3202
Arrows,+0.226,74.4%,2923
Golem,+0.215,84.2%,3334
Knight,+0.163,62.5%,3506
Poison,+0.155,83.7%,3340
Berserker,+0.142,67.3%,3883
Vines,+0.137,76.6%,2928
Electro Wizard,+0.132,68.0%,3050
Musketeer,+0.125,70.7%,3317
Witch,+0.096,67.4%,3418
Firecracker,+0.085,63.5%,3372
Electro Spirit,+0.058,26.7%,3349
Mega Knight,+0.045,77.1%,3385
Rascals,+0.043,41.8%,3362
Graveyard,+0.041,64.0%,3489
Zap,+0.041,38.3%,3353
Furnace,+0.025,48.2%,3111
Zappies,+0.019,49.5%,3331
Wizard,+0.008,58.4%,3309
Barbarian Hut,+0.000,49.8%,2859
Ice Spirit,-0.006,24.0%,3417
Bandit,-0.008,45.8%,3367
Ronin,-0.017,69.4%,3368
Mortar,-0.017,41.4%,3220
Dart Goblin,-0.025,42.7%,3354
Baby Dragon,-0.025,64.2%,3378
Princess,-0.026,46.5%,3251
Heal Spirit,-0.034,20.8%,3442
Tombstone,-0.037,40.4%,3426
Royal Delivery,-0.042,31.7%,3748
Mother Witch,-0.050,47.7%,3882
Giant,-0.057,47.6%,3610
Inferno Dragon,-0.058,48.5%,3307
Giant Snowball,-0.087,15.4%,3482
Flying Machine,-0.113,37.4%,3811
Ice Wizard,-0.116,22.0%,3391
Valkyrie,-0.116,23.0%,3441
Executioner,-0.125,53.6%,3813
Elite Barbarians,-0.136,29.0%,3905
Three Musketeers,-0.158,54.3%,3737
P.E.K.K.A,-0.159,41.4%,3441
Dark Prince,-0.164,20.9%,2941
Night Witch,-0.164,44.0%,3437
Goblin Giant,-0.173,31.5%,3365
Rune Giant,-0.177,17.0%,3400
Rocket,-0.179,36.9%,3050
Tesla,-0.182,51.6%,3439
Fisherman,-0.214,14.2%,3424
Hunter,-0.232,37.4%,3339
Rage,-0.236,11.5%,3479
Elixir Golem,-0.240,8.6%,3397
Inferno Tower,-0.265,32.2%,3404
Ram Rider,-0.268,29.0%,3514
X-Bow,-0.312,39.1%,2833
Royal Giant,-0.333,16.0%,3412
Lava Hound,-0.344,8.1%,3343
