Card,Win Rate When Picked,Games Picked,Win Rate When Passed To You,Games Passed,Difference,Z
Heal Spirit,52.8%,1045,51.3%,3962,+1.6%,0.90
Zap,51.6%,1779,51.4%,3177,+0.2%,0.14
Firecracker,51.8%,3043,51.8%,1845,+0.0%,0.01
Ice Wizard,48.7%,1144,48.9%,3916,-0.2%,-0.10
Electro Wizard,51.2%,3055,51.5%,1394,-0.3%,-0.17
Three Musketeers,46.2%,2849,46.5%,2619,-0.3%,-0.26
Dart Goblin,49.3%,2144,50.0%,2830,-0.6%,-0.43
The Log,55.1%,3143,55.8%,1795,-0.7%,-0.47
Goblin Drill,53.5%,4423,54.4%,840,-0.9%,-0.49
Goblin Barrel,55.3%,3846,56.3%,654,-1.0%,-0.46
Goblin Demolisher,54.3%,4394,55.3%,562,-1.0%,-0.46
Witch,50.9%,3467,51.9%,1521,-1.0%,-0.67
Ronin,47.7%,3455,48.8%,1459,-1.1%,-0.71
Musketeer,50.7%,3460,51.8%,1402,-1.1%,-0.71
Royal Delivery,48.6%,1697,49.8%,3761,-1.2%,-0.85
Night Witch,45.5%,2296,46.8%,2695,-1.3%,-0.93
Inferno Dragon,47.6%,2381,49.0%,2544,-1.4%,-0.95
Mega Knight,49.4%,3774,50.8%,1193,-1.4%,-0.81
Zappies,49.8%,2465,51.1%,2462,-1.4%,-0.96
Wizard,48.3%,2855,49.7%,2022,-1.4%,-0.96
Knight,52.4%,3036,54.0%,1995,-1.6%,-1.11
Poison,51.3%,4040,52.9%,851,-1.6%,-0.86
Arrows,53.4%,3103,55.1%,1171,-1.6%,-0.97
Goblin Hut,53.8%,3419,55.5%,1242,-1.7%,-1.01
Mother Witch,47.4%,2773,49.1%,2893,-1.7%,-1.28
Fisherman,46.2%,782,47.9%,4164,-1.7%,-0.87
Barbarian Barrel,56.2%,3129,58.0%,1823,-1.8%,-1.23
Furnace,49.0%,2200,50.9%,2274,-1.9%,-1.26
Hunter,44.7%,1900,46.6%,2992,-1.9%,-1.29
Giant,47.7%,2532,49.7%,2741,-1.9%,-1.38
Baby Dragon,48.4%,3213,50.4%,1683,-2.0%,-1.36
Rage,45.1%,614,47.2%,4433,-2.1%,-0.97
Graveyard,49.2%,3359,51.3%,1830,-2.1%,-1.45
Electro Spirit,50.8%,1274,52.9%,3685,-2.1%,-1.30
Ice Spirit,50.0%,1191,52.2%,3791,-2.1%,-1.29
Princess,48.3%,2203,50.6%,2570,-2.3%,-1.58
Tombstone,48.0%,2143,50.4%,2864,-2.4%,-1.66
Mortar,48.7%,1815,51.1%,2849,-2.4%,-1.60
Ram Rider,42.8%,1600,45.3%,3582,-2.5%,-1.68
Suspicious Bush,53.3%,2826,55.8%,1559,-2.5%,-1.62
Tesla,43.8%,2482,46.6%,2543,-2.8%,-2.00
Executioner,46.3%,3094,49.2%,2458,-3.0%,-2.21
Inferno Tower,43.3%,1567,46.5%,3371,-3.2%,-2.12
P.E.K.K.A,44.7%,2150,48.0%,2978,-3.3%,-2.34
Royal Hogs,53.6%,3782,56.9%,640,-3.3%,-1.56
Lava Hound,40.8%,505,44.2%,4409,-3.4%,-1.47
Rune Giant,45.1%,856,48.6%,4144,-3.5%,-1.88
Fireball,53.6%,4871,57.2%,572,-3.5%,-1.61
Elite Barbarians,45.4%,1749,48.9%,3947,-3.6%,-2.48
Skeleton Barrel,56.9%,4854,60.5%,755,-3.7%,-1.92
Bandit,48.2%,2267,51.9%,2634,-3.7%,-2.60
Golem,52.4%,4088,56.2%,804,-3.8%,-2.01
X-Bow,40.8%,1634,44.7%,2593,-4.0%,-2.55
Vines,51.9%,3159,55.8%,1078,-4.0%,-2.28
Barbarian Hut,48.7%,2146,52.9%,2119,-4.2%,-2.72
Rascals,48.4%,2162,52.7%,2809,-4.3%,-3.04
Berserker,50.6%,3832,55.1%,1874,-4.5%,-3.22
Giant Snowball,46.2%,819,51.0%,4189,-4.9%,-2.56
Elixir Golem,42.5%,426,47.4%,4549,-4.9%,-1.97
Goblin Giant,43.9%,1627,48.9%,3314,-4.9%,-3.28
Skeleton Army,55.9%,4408,61.2%,531,-5.3%,-2.35
Royal Giant,39.8%,854,46.0%,4144,-6.2%,-3.35
Flying Machine,44.2%,2213,50.6%,3344,-6.3%,-4.64
Rocket,42.2%,1686,48.7%,2799,-6.5%,-4.25
Dark Prince,43.4%,997,50.2%,3342,-6.8%,-3.80
Valkyrie,43.4%,1257,50.7%,3767,-7.2%,-4.46
