Player,Tag,Games,Wins,Win Rate,Draft Decisions,Draft Edge (avg strength gained per pick),Capture Rate (skill: % of available strength taken),Strength Available per Pick (luck),Win Rate When Draft Won,Win Rate When Draft Lost,Most Picked #1,Most Picked #2,Most Picked #3,Most Contrarian Pick (vs field),Most Avoided (vs field)
Reora.,#V0QCUQQJ0,1049,551,52.5%,4196,+0.147,70.4%,0.209,63.9%,39.8%,Skeleton Barrel,Goblin Drill,Berserker,Heal Spirit (+42%),Goblin Hut (-43%)
DemonKing999,#8PP989YQ8,690,398,57.7%,2760,+0.145,70.7%,0.205,67.2%,47.4%,Fireball,Poison,Goblin Drill,Tesla (+30%),Elite Barbarians (-25%)
Sweeping Demon,#V2LPPGRVU,668,353,52.8%,2672,+0.123,59.8%,0.206,67.2%,40.3%,Skeleton Barrel,Goblin Drill,Fireball,Goblin Giant (+44%),Knight (-28%)
captain kittens,#2LC0CUQUU,581,329,56.6%,2324,+0.149,72.2%,0.207,67.6%,43.3%,Goblin Demolisher,Skeleton Barrel,Skeleton Army,Barbarian Hut (+35%),Suspicious Bush (-24%)
❣️rjsdn❣️,#VYRPV8RCC,574,310,54.0%,2296,+0.162,78.5%,0.206,65.0%,39.8%,Fireball,Poison,Skeleton Army,Rocket (+30%),X-Bow (-28%)
MicinoCoccoloso,#9VQPQ8RJQ,569,294,51.7%,2276,+0.143,69.7%,0.206,62.1%,41.5%,Golem,Skeleton Army,Mega Knight,Inferno Tower (+29%),Poison (-29%)
Aʀоmaτ❤,#2JP9QUPY9,564,321,56.9%,2256,+0.165,79.5%,0.207,65.5%,44.6%,Poison,Goblin Drill,Skeleton Barrel,Elixir Golem (+35%),Wizard (-39%)
Adox,#20R0VLJL92,559,327,58.5%,2236,+0.127,61.6%,0.206,67.7%,49.1%,Berserker,Skeleton Barrel,Skeleton Army,X-Bow (+34%),Goblin Hut (-30%)
Loris,#R2P0LPPLJ,544,304,55.9%,2176,+0.155,74.0%,0.209,69.2%,40.5%,Barbarian Barrel,Skeleton Barrel,Goblin Drill,Barbarian Hut (+31%),Executioner (-33%)
かいーにょ,#8G8VV92G9,522,280,53.6%,2088,+0.163,78.7%,0.208,64.8%,40.0%,Skeleton Barrel,Fireball,Goblin Barrel,Barbarian Hut (+30%),Giant (-31%)
pablo11,#QCV0J8V,508,287,56.5%,2032,+0.154,74.4%,0.207,66.9%,43.9%,Skeleton Barrel,Fireball,Skeleton Army,Goblin Giant (+42%),Inferno Dragon (-25%)
Nemo,#RV8R0RJ9C,505,290,57.4%,2020,+0.149,72.9%,0.205,67.3%,47.4%,Skeleton Barrel,Skeleton Army,Berserker,Inferno Dragon (+30%),Barbarian Hut (-39%)
Aegislash,#PYL2RRLUQ,489,295,60.3%,1956,+0.182,87.3%,0.208,67.1%,50.0%,Mega Knight,Goblin Hut,Royal Hogs,Zap (+24%),X-Bow (-31%)
CreeD,#20QUVQ9PCL,484,263,54.3%,1936,+0.147,72.7%,0.202,68.0%,40.7%,Goblin Demolisher,Fireball,Graveyard,Rocket (+23%),Ice Spirit (-19%)
23BS6N,#20LUUP9RLV,462,261,56.5%,1848,+0.118,57.7%,0.205,68.7%,47.1%,Fireball,Furnace,Royal Hogs,Furnace (+35%),Night Witch (-29%)
Lucid dreams✨,#222JCYQU09,448,266,59.4%,1792,+0.137,65.1%,0.210,68.0%,50.7%,Skeleton Army,Poison,Skeleton Barrel,Ram Rider (+28%),Goblin Hut (-47%)
リクルート,#PVCCLPQCG,447,242,54.1%,1788,+0.175,82.2%,0.212,66.5%,38.7%,Skeleton Barrel,Poison,The Log,Zap (+35%),Mortar (-24%)
カオス,#89LPYPGQ8,442,230,52.0%,1768,+0.162,78.5%,0.206,57.3%,45.8%,Skeleton Barrel,Golem,Royal Hogs,Dark Prince (+24%),X-Bow (-29%)
YuWI,#RPCUUVU,442,234,52.9%,1768,+0.131,64.3%,0.204,65.1%,41.4%,Poison,Fireball,Skeleton Army,Fisherman (+36%),Executioner (-27%)
凛冬Rintou✨卤蛋,#V9QYURLVC,406,223,54.9%,1624,+0.119,58.3%,0.204,71.8%,41.9%,Fireball,Baby Dragon,Barbarian Barrel,Tesla (+34%),Barbarian Hut (-30%)
Maxi,#RV8QUUYC,402,245,60.9%,1608,+0.151,74.2%,0.204,71.2%,49.5%,Golem,Fireball,Goblin Drill,Firecracker (+27%),Mother Witch (-24%)
セカイがカフェになっちゃった!,#8VCYQ8CYP,393,214,54.5%,1572,+0.154,75.3%,0.205,63.5%,42.7%,Skeleton Barrel,Fireball,Golem,Rocket (+37%),X-Bow (-33%)
bell,#U2VRY2YCP,391,224,57.3%,1564,+0.180,87.1%,0.207,67.5%,42.9%,Fireball,Skeleton Barrel,Berserker,Electro Spirit (+32%),Rocket (-35%)
JUNINHO™ BR,#VL0GVGGR9,384,213,55.5%,1536,+0.122,59.6%,0.205,68.3%,46.2%,Fireball,Goblin Drill,Ronin,Three Musketeers (+31%),Graveyard (-37%)
Batman,#9CQV2UJ99,369,222,60.2%,1476,+0.143,69.0%,0.207,69.7%,51.3%,Goblin Demolisher,Goblin Drill,Skeleton Barrel,Dart Goblin (+30%),Bandit (-25%)
Maxi. ixde,#8GGG8G8C2,365,186,51.0%,1460,+0.139,69.9%,0.199,57.6%,45.1%,Fireball,Poison,Executioner,Knight (+35%),Mortar (-36%)
Tim f2p,#GJ9Q9GRL9,362,192,53.0%,1448,+0.122,60.6%,0.202,67.2%,39.9%,Graveyard,Giant,Goblin Drill,Giant (+42%),Arrows (-32%)
TommyIsWashed,#9V2JJP08J,362,197,54.4%,1448,+0.122,57.0%,0.213,68.1%,45.4%,Skeleton Army,Golem,Skeleton Barrel,Elixir Golem (+42%),Rocket (-30%)
Sierra,#9JPLUR0CL,360,196,54.4%,1440,+0.145,70.4%,0.206,67.2%,40.4%,Skeleton Barrel,Arrows,Berserker,Barbarian Hut (+34%),Goblin Hut (-27%)
じびエՖ╰‿╯,#V22GJG9VL,354,189,53.4%,1416,+0.147,72.7%,0.202,61.8%,44.9%,Skeleton Barrel,Poison,Goblin Demolisher,Dark Prince (+28%),Three Musketeers (-38%)
ボーン,#UCPJ9QCYY,341,190,55.7%,1364,+0.144,69.8%,0.206,69.9%,41.1%,Goblin Drill,Goblin Demolisher,Skeleton Barrel,Zap (+42%),Wizard (-35%)
なやかよ,#PV9Y2YPV8,339,171,50.4%,1356,+0.165,81.7%,0.202,62.9%,33.1%,Fireball,Skeleton Army,Skeleton Barrel,Bandit (+31%),Three Musketeers (-28%)
$Kastiel$,#8UCJCGG0P,332,173,52.1%,1328,+0.143,68.5%,0.208,70.7%,31.6%,Skeleton Barrel,Fireball,Goblin Barrel,Dart Goblin (+27%),Barbarian Hut (-32%)
Andres♥️Bunny,#ULJV2Q00U,330,180,54.5%,1320,+0.115,55.9%,0.206,69.2%,44.7%,Wizard,Baby Dragon,Witch,Lava Hound (+27%),Graveyard (-46%)
Metalfusion,#R2YJ8QRG,320,182,56.9%,1280,+0.140,67.3%,0.209,72.2%,42.0%,Skeleton Barrel,Skeleton Army,Fireball,Rocket (+35%),Suspicious Bush (-41%)
SK xopxsam,#2LQ2YP98,319,223,69.9%,1276,+0.178,87.8%,0.203,79.6%,53.4%,Barbarian Barrel,Skeleton Barrel,Goblin Demolisher,Barbarian Barrel (+36%),Graveyard (-39%)
OpenMyThirdEye,#YLLVQ02J,318,163,51.3%,1272,+0.117,55.9%,0.209,72.5%,34.1%,Baby Dragon,Skeleton Army,Poison,Hunter (+44%),The Log (-38%)
gabriel,#PY20RY080,315,165,52.4%,1260,+0.121,61.0%,0.199,61.6%,45.2%,Mega Knight,Goblin Drill,Royal Hogs,Goblin Giant (+37%),Poison (-39%)
batan,#9RG0VPUVY,305,208,68.2%,1220,+0.144,69.6%,0.207,79.5%,55.6%,The Log,Suspicious Bush,Goblin Demolisher,Furnace (+28%),Flying Machine (-34%)
めり,#20J2RU0YGY,305,175,57.4%,1220,+0.140,66.2%,0.211,74.7%,38.8%,Skeleton Army,Berserker,Skeleton Barrel,Berserker (+28%),Barbarian Hut (-34%)
Dread Unlock,#UY28208R,305,154,50.5%,1220,+0.148,70.6%,0.210,63.9%,36.7%,Fireball,Skeleton Barrel,Inferno Dragon,Zap (+34%),Electro Wizard (-32%)
⚠Artur⚠,#99YRQJ8G,297,157,52.9%,1188,+0.138,66.3%,0.208,64.3%,42.2%,Fireball,Berserker,Poison,Rocket (+41%),Furnace (-21%)
tarikzius,#PCRYG9JVV,291,157,54.0%,1164,+0.150,72.3%,0.207,65.1%,41.7%,Skeleton Barrel,Skeleton Army,Goblin Drill,Furnace (+31%),Rocket (-34%)
ミゾレ,#2LPQ8JUR0,282,170,60.3%,1128,+0.173,81.4%,0.212,64.9%,54.7%,Fireball,Berserker,Skeleton Army,Barbarian Barrel (+27%),X-Bow (-30%)
die,#VRLJV8G0U,282,162,57.4%,1128,+0.148,69.6%,0.212,68.3%,46.0%,Witch,Poison,Fireball,Dart Goblin (+32%),Suspicious Bush (-38%)
✘Trice×͜×,#QPVP9J9UY,277,145,52.3%,1108,+0.166,82.9%,0.200,59.3%,42.6%,Goblin Drill,Goblin Barrel,Graveyard,Mortar (+27%),Inferno Tower (-25%)
SYX_OGtrooper,#G008VYCC0,276,149,54.0%,1104,+0.153,76.8%,0.199,63.6%,44.1%,Goblin Hut,Ronin,Poison,Barbarian Hut (+32%),Ram Rider (-27%)
leon,#RULQQCLJ8,272,143,52.6%,1088,+0.129,62.1%,0.208,65.6%,41.5%,Royal Hogs,Mega Knight,Graveyard,Graveyard (+27%),Berserker (-35%)
GiovanniXD,#8VL0VVQCY,261,131,50.2%,1044,+0.134,65.5%,0.205,56.1%,43.4%,Golem,Poison,Skeleton Barrel,P.E.K.K.A (+39%),Barbarian Barrel (-27%)
leon04,#2GR028VLR,259,133,51.4%,1036,+0.115,57.5%,0.200,61.2%,42.8%,Musketeer,Bandit,Poison,Rocket (+41%),Vines (-44%)
Pi✨Maskk,#C98CP0LRU,254,142,55.9%,1016,+0.123,60.5%,0.203,66.7%,47.1%,Royal Hogs,Skeleton Barrel,Goblin Drill,Goblin Giant (+46%),Tombstone (-29%)
✘ あっくん ✘,#YUYR09JPC,254,137,53.9%,1016,+0.157,75.8%,0.207,64.0%,42.4%,Royal Hogs,Skeleton Barrel,Mega Knight,Barbarian Barrel (+26%),Knight (-48%)
vicki£22,#CJ9R2YQLR,233,125,53.6%,932,+0.163,77.9%,0.209,64.1%,40.2%,Fireball,Graveyard,Goblin Drill,Mortar (+29%),Suspicious Bush (-31%)
ΨΨΨ,#PJ9Y8QLP0,233,126,54.1%,932,+0.170,82.3%,0.207,67.2%,38.1%,Goblin Demolisher,Skeleton Barrel,Skeleton Army,Ice Spirit (+20%),Dart Goblin (-27%)
=★The Star★=,#PLR02RVG8,229,125,54.6%,916,+0.143,71.3%,0.201,65.3%,43.2%,Fireball,Musketeer,Poison,Graveyard (+31%),Firecracker (-26%)
Dexterz,#JPLP0L0Y,227,126,55.5%,908,+0.148,69.9%,0.212,70.2%,37.9%,Skeleton Army,Goblin Drill,Fireball,Barbarian Hut (+31%),Dart Goblin (-26%)
Alphonse,#88JRCUPQ9,224,121,54.0%,896,+0.133,64.2%,0.207,67.5%,39.3%,Goblin Demolisher,Fireball,Royal Hogs,Mortar (+31%),Suspicious Bush (-33%)
ayu,#GPL2LVCGU,214,118,55.1%,856,+0.150,72.7%,0.206,66.7%,42.7%,Skeleton Barrel,Skeleton Army,Berserker,Graveyard (+35%),Firecracker (-49%)
OcT❤️Lev4ek,#YJP2RPUJJ,210,121,57.6%,840,+0.143,70.2%,0.204,71.8%,43.9%,Fireball,Berserker,Golem,Suspicious Bush (+35%),Three Musketeers (-39%)
tktok @kai_cr12,#208R9Q8JUV,206,128,62.1%,824,+0.147,72.8%,0.202,68.2%,55.6%,Executioner,Mega Knight,Goblin Drill,Barbarian Barrel (+31%),Giant (-33%)
BENIJU,#CCUUL890J,206,117,56.8%,824,+0.124,60.0%,0.207,65.3%,49.1%,Goblin Drill,Skeleton Barrel,Barbarian Barrel,Goblin Giant (+51%),Tombstone (-34%)
va,#9GJUQYG0C,204,116,56.9%,816,+0.175,79.9%,0.219,62.7%,47.4%,Skeleton Barrel,Goblin Demolisher,Goblin Hut,Ice Spirit (+36%),Wizard (-33%)
Arrrr＿,#2VLUV0PCR,201,106,52.7%,804,+0.125,59.6%,0.210,67.4%,39.6%,The Log,Skeleton Army,Golem,Fisherman (+57%),Barbarian Hut (-33%)
ЗА ВДВ,#PJR98JV0Y,200,115,57.5%,800,+0.149,73.2%,0.203,68.2%,44.4%,Three Musketeers,Golem,Skeleton Barrel,Royal Delivery (+33%),X-Bow (-37%)
Freezer™❄️,#JY2CYQY,194,105,54.1%,776,+0.125,60.2%,0.208,71.4%,40.9%,Goblin Demolisher,Musketeer,Skeleton Army,Executioner (+35%),Golem (-51%)
Isolde✨,#V22R2QU9J,189,114,60.3%,756,+0.140,68.2%,0.205,75.0%,45.2%,Mother Witch,Goblin Drill,Golem,Mother Witch (+43%),Berserker (-32%)
